"Title","Release_Date","Year","Rating","Description","Genre","Budget","Revenue","Vote_Count","Runtime","Production_Companies","Director","Cast"
"Graphic Desires","2023-08-31","2023.0","6.935","When reclusive Franklin cheats on his partner with a mysterious girl he meets on a dating app, it becomes the start of a deadly obsession.","Thriller, Crime","0","0","92","90","Paranoid Android Films, Proportion Productions, Mutiny Pictures, APL Film","Andy Edwards","David Wayman, Sian Altman, May Kelly, Ocean M Harris, Valis Volkova"
"The Shadow's Edge","2025-08-16","2025.0","7.762","Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.","Action, Crime, Drama, Thriller","0","174400000","863","142","iQIYI Pictures （重复 同 iQiyi Motion Pictures）, Tao Piao Piao 淘票票, Hairun Pictures Company, Dong Fang Chen Xiang","Larry Yang","Jackie Chan, Zhang Zifeng, Tony Leung Ka-fai, Ci Sha, Jun"
"Avatar: Fire and Ash","2025-12-17","2025.0","7.585","In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.","Science Fiction, Adventure, Fantasy","350000000","1490477656","3469","198","20th Century Studios, Lightstorm Entertainment, TSG Entertainment","James Cameron","Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Oona Chaplin"
"Demon Slayer: Kimetsu no Yaiba Infinity Castle","2025-07-18","2025.0","7.724","The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.","Animation, Action, Fantasy","20000000","733030221","863","156","ufotable, Aniplex, Shueisha","Haruo Sotozaki","Natsuki Hanae, Takahiro Sakurai, Akira Ishida, Hiro Shimono, Yoshimasa Hosoya"
"The Holy Boy","2025-09-17","2025.0","6.971","A PE teacher moves to a isolated mountain village where the people appear to live in unshakeable serenity, but soon stumbles across a disturbing ritual. Once a week, the locals are freed of their pain by a lonely boy born with the power to heal one's soul just by hugging them. Trying to rescue him from this madness, the man unleashes his dark side.","Horror, Thriller, Drama","4025000","377925","137","122","Nightswim, Fandango, Vision Distribution, MiC, Lazio Cinema International, Fondo Audiovisivo FVG, SPOK Films, Sky","Paolo Strippoli","Michele Riondino, Giulio Feltri, Paolo Pierobon, Romana Maggiora Vergano, Roberto Citran"
"Zootopia 2","2025-11-26","2025.0","7.667","After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.","Animation, Adventure, Comedy, Mystery, Family","150000000","1868208796","2954","108","Walt Disney Animation Studios, Walt Disney Animation Studios","Jared Bush","Ginnifer Goodwin, Jason Bateman, Ke Huy Quan, Fortune Feimster, Andy Samberg"
"Dhurandhar","2025-12-05","2025.0","7.2","A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.","Action, Crime, Thriller","14330000","137246897","306","212","B62 Studios, Jio Studios","Aditya Dhar","Ranveer Singh, Akshaye Khanna, R. Madhavan, Arjun Rampal, Sanjay Dutt"
"After We Fell","2021-09-01","2021.0","7.003","Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.","Drama, Romance","14000000","21753705","2746","99","Voltage Pictures, Wattpad, Vertical, Ethea Entertainment, CalMaple Films","Castille Landon","Josephine Langford, Hero Fiennes Tiffin, Carter Jenkins, Louise Lombard, Chance Perdomo"
"Mortal Kombat","2021-04-07","2021.0","7.047","Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.","Action, Fantasy, Adventure","20000000","84426031","6786","110","Atomic Monster, Broken Road Productions, New Line Cinema","Simon McQuoid","Lewis Tan, Jessica McNamee, Mehcad Brooks, Josh Lawson, Ludi Lin"
"Ne Zha 2","2025-01-29","2025.0","8.151","After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.","Animation, Action, Fantasy, Adventure","80000000","2259822417","717","144","Chengdu Coco Cartoon, Beijing Enlight Pictures, Beijing Enlight Media, Chengdu Zizai Jingjie Culture Media, Beijing Coloroom Technology","Jiao Zi","Lu Yanting, Joseph, Han Mo, Chen Hao, Lu Qi"
