Title,Release_Date,video_id,video_title,channel_name,video_published_at,video_view_count,likes,like_ratio,trailer_score,comment_count,avg_compound,avg_positive,avg_negative,avg_neutral,positive_ratio,negative_ratio,total_likes,weighted_compound,notes
Avatar: Fire and Ash,17/12/2025,nb_fFj_0rq8,Avatar: Fire and Ash | Official Trailer,Avatar,2025-07-28T15:00:09Z,45430397,673161,1,70,100,0.1142,0.1102,0.0994,0.7905,0.48,0.32,535861,0.0523,
Demon Slayer: Kimetsu no Yaiba Infinity Castle,18/7/2025,x7uLutVRBfI,Demon Slayer: Kimetsu no Yaiba Infinity Castle | MAIN TRAILER,Sony Pictures Entertainment,2025-06-28T14:01:35Z,13334745,280581,1,90,100,0.0834,0.1638,0.1577,0.6785,0.47,0.4,109834,0.1277,
Dhurandhar,5/12/2025,BKOVzHcjEIo,Dhurandhar Official Trailer | Ranveer Singh | Aditya Dhar | Storming Cinemas Worldwide,JioStudios,2025-11-18T06:50:49Z,99511761,900908,1,120,100,0.0536,0.1211,0.1232,0.7558,0.4,0.35,225010,0.1338,
After We Fell,1/9/2021,NYdNN6C9hfI,After We Fell | Official Trailer | Voltage Pictures,Voltage Pictures,2021-07-15T15:14:06Z,10220139,101829,1,120,100,0.2207,0.1742,0.0954,0.7304,0.55,0.28,58675,0.2583,
The Housemaid,18/12/2025,48CtX6OgU3s,"The Housemaid (2025) Official Trailer – Sydney Sweeney, Amanda Seyfried, Brandon Sklenar",Lionsgate Movies,2025-09-16T16:00:06Z,20584191,67738,1,120,100,0.3977,0.2054,0.0423,0.7522,0.71,0.12,92179,0.3433,
Predator: Badlands,5/11/2025,43R9l7EkJwE,Predator: Badlands | Official Trailer,20th Century Studios,2025-07-21T16:00:06Z,29769887,324601,1,120,100,0.242,0.1559,0.0731,0.771,0.55,0.22,213672,0.2524,
My Fault,8/6/2023,PaB7cGBuCP0,My Fault | Official Trailer | Prime Video,Amazon Prime Video UK & IE,2023-05-10T14:00:32Z,5841270,42382,1,115.84,100,0.269,0.2018,0.0494,0.7488,0.54,0.12,12238,0.4087,
Spider-Man: No Way Home,15/12/2021,JfVOs4VSpmA,SPIDER-MAN: NO WAY HOME - Official Trailer (HD),Sony Pictures Entertainment,2021-11-17T01:30:05Z,86319692,2957806,1,120,100,-0.1131,0.0755,0.1229,0.8016,0.27,0.5,386171,-0.1895,
Deadpool & Wolverine,24/7/2024,73_1biulkYk,Deadpool & Wolverine | Official Trailer | In Theaters July 26,Marvel Entertainment,2024-04-22T13:00:09Z,39530690,583738,1,120,100,0.2619,0.1628,0.0675,0.7697,0.63,0.17,329429,0.3226,
Jurassic World Rebirth,23/6/2025,jan5CFWs9ic,Jurassic World Rebirth | Official Trailer,Universal Pictures,2025-02-05T13:00:39Z,56351267,527510,1,120,100,0.0993,0.1051,0.0709,0.824,0.42,0.27,632298,-0.0925,
